x,y,z,phi,theta,psi
0,0,0,0,0,0
-5.3854e-13,2.6253e-14,3.4985e-06,-7.6467e-12,-1.5685e-10,-3.0807e-12
-1.0491e-12,3.5548e-14,1.3814e-05,-1.4318e-11,-3.3939e-10,-6.0944e-12
-2.8111e-12,1.081e-13,3.0848e-05,-3.853e-11,-8.8792e-10,-1.6295e-11
-4.6004e-12,1.6382e-13,5.4594e-05,-6.2122e-11,-1.4839e-09,-2.684e-11
-7.5052e-12,2.7292e-13,8.5039e-05,-1.0093e-10,-2.4156e-09,-4.3923e-11
-1.0494e-11,3.6823e-13,0.00012217,-1.3981e-10,-3.4179e-09,-6.1846e-11
-1.4465e-11,5.078e-13,0.00016599,-1.919e-10,-4.7304e-09,-8.5759e-11
-1.8547e-11,6.3531e-13,0.00021647,-2.4456e-10,-6.1324e-09,-1.1092e-10
-2.3476e-11,7.9867e-13,0.00027361,-3.0867e-10,-7.8232e-09,-1.416e-10
-2.8515e-11,9.506e-13,0.0003374,-3.7369e-10,-9.6189e-09,-1.7387e-10
-3.4265e-11,1.1306e-12,0.00040783,-4.4866e-10,-1.1685e-08,-2.1126e-10
-4.0097e-11,1.2989e-12,0.00048488,-5.2475e-10,-1.3869e-08,-2.505e-10
-4.65e-11,1.4879e-12,0.00056855,-6.0946e-10,-1.6308e-08,-2.9455e-10
-5.2935e-11,1.6643e-12,0.00065883,-6.9543e-10,-1.8874e-08,-3.4065e-10
-5.9795e-11,1.8546e-12,0.0007557,-7.8885e-10,-2.1683e-08,-3.9127e-10
-6.6616e-11,2.0307e-12,0.00085914,-8.8357e-10,-2.4627e-08,-4.4412e-10
-7.371e-11,2.2144e-12,0.00096917,-9.8472e-10,-2.7802e-08,-5.0125e-10
-8.0673e-11,2.3818e-12,0.0010857,-1.0872e-09,-3.112e-08,-5.6075e-10
-8.7749e-11,2.5508e-12,0.0012089,-1.1952e-09,-3.4659e-08,-6.2431e-10
-9.4584e-11,2.7012e-12,0.0013385,-1.3044e-09,-3.8345e-08,-6.9036e-10
-1.0136e-10,2.8475e-12,0.0014747,-1.4183e-09,-4.2245e-08,-7.6029e-10
-1.0778e-10,2.9728e-12,0.0016174,-1.5335e-09,-4.6296e-08,-8.3279e-10
-1.1395e-10,3.0885e-12,0.0017666,-1.6526e-09,-5.0553e-08,-9.0902e-10
-1.1962e-10,3.1806e-12,0.0019223,-1.7728e-09,-5.4965e-08,-9.8788e-10
-1.2487e-10,3.2582e-12,0.0020845,-1.8965e-09,-5.9577e-08,-1.0703e-09
-1.2945e-10,3.3094e-12,0.0022532,-2.021e-09,-6.4346e-08,-1.1555e-09
-1.3341e-10,3.3415e-12,0.0024283,-2.1484e-09,-6.931e-08,-1.2441e-09
-1.3653e-10,3.3454e-12,0.0026098,-2.2766e-09,-7.4432e-08,-1.3354e-09
-1.3882e-10,3.3282e-12,0.0027978,-2.4071e-09,-7.9745e-08,-1.4301e-09
-1.4008e-10,3.2818e-12,0.0029921,-2.5383e-09,-8.5218e-08,-1.5276e-09
-1.4031e-10,3.211e-12,0.0031929,-2.6714e-09,-9.0877e-08,-1.6283e-09
-1.393e-10,3.1087e-12,0.0034001,-2.805e-09,-9.6698e-08,-1.7318e-09
-1.3703e-10,2.9789e-12,0.0036137,-2.9402e-09,-1.027e-07,-1.8384e-09
-1.333e-10,2.8157e-12,0.0038336,-3.0757e-09,-1.0886e-07,-1.9479e-09
-1.2808e-10,2.6224e-12,0.0040599,-3.2124e-09,-1.1521e-07,-2.0604e-09
-1.2118e-10,2.3938e-12,0.0042925,-3.3493e-09,-1.2171e-07,-2.1758e-09
-1.1253e-10,2.1329e-12,0.0045315,-3.487e-09,-1.284e-07,-2.2942e-09
-1.0196e-10,1.8355e-12,0.0047768,-3.6249e-09,-1.3524e-07,-2.4153e-09
-8.9396e-11,1.5039e-12,0.0050283,-3.7633e-09,-1.4226e-07,-2.5395e-09
-7.4654e-11,1.1349e-12,0.0052862,-3.9016e-09,-1.4944e-07,-2.6664e-09
-5.7646e-11,7.303e-13,0.0055503,-4.0404e-09,-1.5679e-07,-2.7962e-09
-3.8199e-11,2.8766e-13,0.0058208,-4.1788e-09,-1.6431e-07,-2.9288e-09
-1.6209e-11,-1.9122e-13,0.0060974,-4.3175e-09,-1.7199e-07,-3.0643e-09
8.4957e-12,-7.083e-13,0.0063803,-4.4558e-09,-1.7984e-07,-3.2026e-09
3.603e-11,-1.2619e-12,0.0066694,-4.5941e-09,-1.8785e-07,-3.3437e-09
6.6566e-11,-1.8532e-12,0.0069648,-4.7319e-09,-1.9602e-07,-3.4875e-09
1.0023e-10,-2.4808e-12,0.0072663,-4.8694e-09,-2.0436e-07,-3.6341e-09
1.3719e-10,-3.1452e-12,0.007574,-5.0065e-09,-2.1287e-07,-3.7834e-09
1.7758e-10,-3.8448e-12,0.0078879,-5.1431e-09,-2.2153e-07,-3.9355e-09
2.2159e-10,-4.5799e-12,0.0082079,-5.2791e-09,-2.3036e-07,-4.0903e-09
2.6934e-10,-5.3485e-12,0.0085341,-5.4146e-09,-2.3935e-07,-4.2478e-09
3.2102e-10,-6.1505e-12,0.0088664,-5.5493e-09,-2.485e-07,-4.408e-09
3.7677e-10,-6.9838e-12,0.0092048,-5.6834e-09,-2.5781e-07,-4.5708e-09
4.3679e-10,-7.8478e-12,0.0095493,-5.8167e-09,-2.6728e-07,-4.7364e-09
5.0121e-10,-8.7401e-12,0.0098999,-5.9492e-09,-2.7691e-07,-4.9046e-09
5.7023e-10,-9.6596e-12,0.010257,-6.0808e-09,-2.867e-07,-5.0754e-09
6.4401e-10,-1.0604e-11,0.010619,-6.2116e-09,-2.9665e-07,-5.2489e-09
7.2273e-10,-1.1571e-11,0.010988,-6.3414e-09,-3.0676e-07,-5.425e-09
8.0656e-10,-1.2558e-11,0.011363,-6.4703e-09,-3.1703e-07,-5.6037e-09
8.957e-10,-1.3564e-11,0.011744,-6.5982e-09,-3.2746e-07,-5.785e-09
9.9032e-10,-1.4585e-11,0.012131,-6.7251e-09,-3.3804e-07,-5.9689e-09
1.0906e-09,-1.5617e-11,0.012523,-6.8509e-09,-3.4878e-07,-6.1553e-09
1.1967e-09,-1.6659e-11,0.012922,-6.9757e-09,-3.5968e-07,-6.3444e-09
1.3089e-09,-1.7707e-11,0.013327,-7.0993e-09,-3.7073e-07,-6.536e-09
1.4274e-09,-1.8756e-11,0.013738,-7.2219e-09,-3.8194e-07,-6.7301e-09
1.5522e-09,-1.9804e-11,0.014154,-7.3433e-09,-3.9331e-07,-6.9268e-09
1.6837e-09,-2.0846e-11,0.014577,-7.4635e-09,-4.0483e-07,-7.126e-09
1.822e-09,-2.1878e-11,0.015005,-7.5826e-09,-4.1651e-07,-7.3277e-09
1.9674e-09,-2.2896e-11,0.015439,-7.7004e-09,-4.2834e-07,-7.5319e-09
2.12e-09,-2.3893e-11,0.01588,-7.8171e-09,-4.4033e-07,-7.7386e-09
2.28e-09,-2.4867e-11,0.016326,-7.9325e-09,-4.5248e-07,-7.9478e-09
2.4477e-09,-2.5811e-11,0.016777,-8.0467e-09,-4.6477e-07,-8.1594e-09
2.6232e-09,-2.6719e-11,0.017235,-8.1597e-09,-4.7723e-07,-8.3736e-09
2.8068e-09,-2.7586e-11,0.017699,-8.2715e-09,-4.8983e-07,-8.5902e-09
2.9987e-09,-2.8407e-11,0.018168,-8.3819e-09,-5.0259e-07,-8.8092e-09
3.1991e-09,-2.9173e-11,0.018643,-8.4911e-09,-5.1551e-07,-9.0307e-09
3.4082e-09,-2.988e-11,0.019124,-8.5991e-09,-5.2858e-07,-9.2546e-09
3.6263e-09,-3.0519e-11,0.01961,-8.7058e-09,-5.418e-07,-9.481e-09
3.8535e-09,-3.1085e-11,0.020102,-8.8112e-09,-5.5517e-07,-9.7097e-09
4.0902e-09,-3.1568e-11,0.0206,-8.9153e-09,-5.687e-07,-9.9409e-09
4.3364e-09,-3.1963e-11,0.021104,-9.0182e-09,-5.8238e-07,-1.0175e-08
4.5925e-09,-3.2259e-11,0.021614,-9.1198e-09,-5.9621e-07,-1.041e-08
4.8587e-09,-3.2449e-11,0.022129,-9.2201e-09,-6.102e-07,-1.0649e-08
5.1352e-09,-3.2525e-11,0.022649,-9.3192e-09,-6.2434e-07,-1.089e-08
5.4223e-09,-3.2477e-11,0.023176,-9.417e-09,-6.3863e-07,-1.1133e-08
5.7201e-09,-3.2295e-11,0.023708,-9.5135e-09,-6.5307e-07,-1.1378e-08
6.029e-09,-3.1971e-11,0.024245,-9.6088e-09,-6.6767e-07,-1.1626e-08
6.3491e-09,-3.1494e-11,0.024788,-9.7028e-09,-6.8241e-07,-1.1876e-08
6.6808e-09,-3.0853e-11,0.025337,-9.7956e-09,-6.9731e-07,-1.2129e-08
7.0242e-09,-3.0038e-11,0.025891,-9.8871e-09,-7.1237e-07,-1.2384e-08
7.3796e-09,-2.9038e-11,0.026451,-9.9774e-09,-7.2757e-07,-1.2641e-08
7.7473e-09,-2.7841e-11,0.027016,-1.0066e-08,-7.4292e-07,-1.2901e-08
8.1275e-09,-2.6436e-11,0.027587,-1.0154e-08,-7.5843e-07,-1.3162e-08
8.5205e-09,-2.481e-11,0.028163,-1.0241e-08,-7.7409e-07,-1.3427e-08
8.9265e-09,-2.2951e-11,0.028745,-1.0326e-08,-7.899e-07,-1.3693e-08
9.3458e-09,-2.0846e-11,0.029332,-1.0411e-08,-8.0586e-07,-1.3962e-08
9.7786e-09,-1.8481e-11,0.029925,-1.0494e-08,-8.2197e-07,-1.4233e-08
1.0225e-08,-1.5842e-11,0.030523,-1.0576e-08,-8.3824e-07,-1.4507e-08
1.0686e-08,-1.2917e-11,0.031127,-1.0656e-08,-8.5466e-07,-1.4782e-08
1.1161e-08,-9.6887e-12,0.031736,-1.0736e-08,-8.7122e-07,-1.506e-08
1.1651e-08,-6.1439e-12,0.03235,-1.0815e-08,-8.8794e-07,-1.5341e-08
1.2155e-08,-2.2667e-12,0.03297,-1.0892e-08,-9.0481e-07,-1.5623e-08
1.2675e-08,1.9587e-12,0.033595,-1.0968e-08,-9.2184e-07,-1.5908e-08
1.321e-08,6.5485e-12,0.034225,-1.1043e-08,-9.3901e-07,-1.6195e-08
1.376e-08,1.152e-11,0.034861,-1.1117e-08,-9.5634e-07,-1.6485e-08
1.4327e-08,1.6889e-11,0.035502,-1.119e-08,-9.7381e-07,-1.6776e-08
1.491e-08,2.2674e-11,0.036148,-1.1262e-08,-9.9144e-07,-1.707e-08
1.5509e-08,2.8893e-11,0.036799,-1.1333e-08,-1.0092e-06,-1.7366e-08
1.6126e-08,3.5564e-11,0.037456,-1.1403e-08,-1.0272e-06,-1.7665e-08
1.6759e-08,4.2707e-11,0.038118,-1.1472e-08,-1.0452e-06,-1.7965e-08
1.741e-08,5.034e-11,0.038785,-1.154e-08,-1.0635e-06,-1.8268e-08
1.8078e-08,5.8485e-11,0.039457,-1.1606e-08,-1.0819e-06,-1.8573e-08
1.8764e-08,6.716e-11,0.040135,-1.1672e-08,-1.1004e-06,-1.8881e-08
1.9469e-08,7.6388e-11,0.040818,-1.1737e-08,-1.1191e-06,-1.919e-08
2.0192e-08,8.6189e-11,0.041506,-1.1801e-08,-1.1379e-06,-1.9502e-08
2.0934e-08,9.6585e-11,0.042198,-1.1864e-08,-1.1569e-06,-1.9816e-08
2.1695e-08,1.076e-10,0.042897,-1.1926e-08,-1.1761e-06,-2.0132e-08
2.2475e-08,1.1926e-10,0.0436,-1.1987e-08,-1.1954e-06,-2.0451e-08
2.3275e-08,1.3157e-10,0.044308,-1.2048e-08,-1.2148e-06,-2.0772e-08
2.4096e-08,1.4458e-10,0.045021,-1.2107e-08,-1.2344e-06,-2.1095e-08
2.4936e-08,1.583e-10,0.045739,-1.2166e-08,-1.2542e-06,-2.142e-08
2.5797e-08,1.7276e-10,0.046463,-1.2223e-08,-1.2741e-06,-2.1747e-08
2.6679e-08,1.8799e-10,0.047191,-1.228e-08,-1.2942e-06,-2.2076e-08
2.7583e-08,2.04e-10,0.047924,-1.2336e-08,-1.3144e-06,-2.2408e-08
2.8508e-08,2.2083e-10,0.048663,-1.2391e-08,-1.3348e-06,-2.2742e-08
2.9455e-08,2.385e-10,0.049406,-1.2446e-08,-1.3553e-06,-2.3078e-08
3.0424e-08,2.5705e-10,0.050154,-1.2499e-08,-1.376e-06,-2.3417e-08
3.1415e-08,2.765e-10,0.050907,-1.2552e-08,-1.3968e-06,-2.3757e-08
3.2429e-08,2.9688e-10,0.051665,-1.2604e-08,-1.4178e-06,-2.41e-08
3.3467e-08,3.1821e-10,0.052428,-1.2656e-08,-1.4389e-06,-2.4445e-08
3.4528e-08,3.4054e-10,0.053196,-1.2706e-08,-1.4602e-06,-2.4792e-08
3.5612e-08,3.6389e-10,0.053969,-1.2756e-08,-1.4817e-06,-2.5141e-08
3.6721e-08,3.883e-10,0.054746,-1.2806e-08,-1.5033e-06,-2.5492e-08
3.7854e-08,4.1378e-10,0.055528,-1.2854e-08,-1.525e-06,-2.5846e-08
3.9012e-08,4.4039e-10,0.056315,-1.2902e-08,-1.5469e-06,-2.6202e-08
4.0196e-08,4.6815e-10,0.057107,-1.2949e-08,-1.569e-06,-2.656e-08
4.1404e-08,4.9709e-10,0.057904,-1.2996e-08,-1.5912e-06,-2.692e-08
4.2638e-08,5.2726e-10,0.058705,-1.3042e-08,-1.6136e-06,-2.7282e-08
4.3899e-08,5.5868e-10,0.059511,-1.3087e-08,-1.6361e-06,-2.7647e-08
