x,y,z,phi,theta,psi
0,0,0,0,0,0
8.6917e-09,-1.5494e-06,-5.4411e-09,0.000513,3.3666e-06,-3.0887e-06
8.6944e-08,-5.9357e-06,-9.7998e-09,0.0019725,2.6996e-05,-1.1509e-05
1.6346e-07,-1.2814e-05,-2.6019e-08,0.0042795,5.192e-05,-2.5065e-05
2.9715e-07,-2.1945e-05,-4.073e-08,0.0073529,9.3466e-05,-4.2865e-05
4.2853e-07,-3.3099e-05,-6.5205e-08,0.011117,0.00013584,-6.4806e-05
6.0661e-07,-4.6077e-05,-8.841e-08,0.015505,0.00019179,-9.0119e-05
7.8193e-07,-6.0691e-05,-1.1981e-07,0.020454,0.00024819,-0.00011873
9.9529e-07,-7.6774e-05,-1.5032e-07,0.025909,0.00031566,-0.00014997
1.2055e-06,-9.4171e-05,-1.879e-07,0.031817,0.00038327,-0.0001838
1.4466e-06,-0.00011274,-2.251e-07,0.038132,0.00045987,-0.00021965
1.6844e-06,-0.00013237,-2.6863e-07,0.044813,0.00053638,-0.00025747
1.947e-06,-0.00015292,-3.1239e-07,0.051819,0.00062015,-0.00029681
2.2062e-06,-0.0001743,-3.6204e-07,0.059116,0.00070363,-0.00033761
2.4852e-06,-0.00019642,-4.126e-07,0.066673,0.00079295,-0.00037949
2.7607e-06,-0.00021917,-4.6887e-07,0.074459,0.00088184,-0.00042243
3.052e-06,-0.0002425,-5.2679e-07,0.082449,0.00097538,-0.00046609
3.3396e-06,-0.00026632,-5.9071e-07,0.090618,0.0010684,-0.00051044
3.6397e-06,-0.00029057,-6.5776e-07,0.098945,0.001165,-0.0005552
3.936e-06,-0.00031519,-7.3184e-07,0.10741,0.0012611,-0.00060035
4.2421e-06,-0.00034013,-8.1066e-07,0.116,0.00136,-0.00064565
4.5444e-06,-0.00036534,-8.9752e-07,0.12468,0.0014582,-0.00069108
4.8542e-06,-0.00039077,-9.9056e-07,0.13346,0.0015586,-0.00073643
5.1602e-06,-0.00041638,-1.0926e-06,0.14232,0.0016582,-0.00078171
5.4718e-06,-0.00044214,-1.202e-06,0.15123,0.0017596,-0.00082674
5.7796e-06,-0.00046802,-1.3213e-06,0.1602,0.0018601,-0.00087152
6.0914e-06,-0.00049398,-1.4492e-06,0.16921,0.0019618,-0.00091591
6.3995e-06,-0.00052,-1.5876e-06,0.17825,0.0020627,-0.00095992
6.7104e-06,-0.00054605,-1.7355e-06,0.18732,0.0021644,-0.0010034
7.0176e-06,-0.0005721,-1.8947e-06,0.1964,0.0022653,-0.0010464
7.3264e-06,-0.00059815,-2.0642e-06,0.20549,0.0023667,-0.0010888
7.6317e-06,-0.00062417,-2.2455e-06,0.21459,0.0024673,-0.0011307
7.9378e-06,-0.00065015,-2.438e-06,0.22368,0.0025681,-0.0011718
8.2403e-06,-0.00067606,-2.6427e-06,0.23276,0.002668,-0.0012123
8.5429e-06,-0.0007019,-2.8592e-06,0.24184,0.0027681,-0.0012521
8.842e-06,-0.00072765,-3.0884e-06,0.25089,0.0028672,-0.0012912
9.1408e-06,-0.00075331,-3.3299e-06,0.25993,0.0029663,-0.0013295
9.436e-06,-0.00077886,-3.5844e-06,0.26895,0.0030645,-0.0013671
9.7304e-06,-0.00080429,-3.8517e-06,0.27793,0.0031625,-0.0014039
1.0021e-05,-0.0008296,-4.1323e-06,0.28689,0.0032596,-0.0014399
1.0311e-05,-0.00085478,-4.4261e-06,0.29582,0.0033563,-0.0014751
1.0598e-05,-0.00087982,-4.7336e-06,0.30471,0.0034522,-0.0015095
1.0883e-05,-0.00090472,-5.0545e-06,0.31357,0.0035477,-0.001543
1.1164e-05,-0.00092947,-5.3893e-06,0.32238,0.0036424,-0.0015758
1.1444e-05,-0.00095407,-5.7378e-06,0.33116,0.0037365,-0.0016077
1.1721e-05,-0.00097851,-6.1005e-06,0.3399,0.0038298,-0.0016389
1.1996e-05,-0.0010028,-6.477e-06,0.3486,0.0039225,-0.0016691
1.2267e-05,-0.0010269,-6.8679e-06,0.35725,0.0040144,-0.0016986
1.2537e-05,-0.0010509,-7.2729e-06,0.36586,0.0041057,-0.0017273
1.2803e-05,-0.0010747,-7.6923e-06,0.37442,0.0041962,-0.0017551
1.3068e-05,-0.0010983,-8.1261e-06,0.38294,0.0042861,-0.0017821
1.3329e-05,-0.0011217,-8.5743e-06,0.39141,0.0043752,-0.0018083
1.3588e-05,-0.001145,-9.0371e-06,0.39983,0.0044636,-0.0018336
1.3844e-05,-0.0011681,-9.5144e-06,0.4082,0.0045512,-0.0018582
1.4098e-05,-0.001191,-1.0006e-05,0.41653,0.0046381,-0.001882
1.4349e-05,-0.0012137,-1.0513e-05,0.42481,0.0047243,-0.001905
1.4598e-05,-0.0012363,-1.1034e-05,0.43304,0.0048098,-0.0019271
1.4844e-05,-0.0012587,-1.157e-05,0.44122,0.0048945,-0.0019485
1.5088e-05,-0.0012809,-1.2121e-05,0.44935,0.0049785,-0.0019691
1.5329e-05,-0.001303,-1.2687e-05,0.45743,0.0050618,-0.001989
1.5567e-05,-0.0013248,-1.3267e-05,0.46547,0.0051444,-0.0020081
1.5803e-05,-0.0013465,-1.3862e-05,0.47345,0.0052262,-0.0020264
1.6036e-05,-0.001368,-1.4473e-05,0.48138,0.0053073,-0.002044
1.6267e-05,-0.0013893,-1.5098e-05,0.48927,0.0053877,-0.0020608
1.6496e-05,-0.0014105,-1.5739e-05,0.4971,0.0054675,-0.0020769
1.6722e-05,-0.0014315,-1.6394e-05,0.50489,0.0055465,-0.0020922
1.6946e-05,-0.0014523,-1.7066e-05,0.51262,0.0056248,-0.0021068
1.7167e-05,-0.0014729,-1.7753e-05,0.52031,0.0057024,-0.0021207
1.7386e-05,-0.0014934,-1.8455e-05,0.52795,0.0057794,-0.0021339
1.7603e-05,-0.0015137,-1.9174e-05,0.53553,0.0058557,-0.0021463
1.7817e-05,-0.0015338,-1.9908e-05,0.54307,0.0059313,-0.0021581
1.8029e-05,-0.0015537,-2.0658e-05,0.55056,0.0060062,-0.0021691
1.8239e-05,-0.0015735,-2.1424e-05,0.55801,0.0060804,-0.0021795
1.8447e-05,-0.0015931,-2.2207e-05,0.5654,0.006154,-0.0021891
1.8652e-05,-0.0016125,-2.3005e-05,0.57275,0.006227,-0.0021981
1.8855e-05,-0.0016318,-2.382e-05,0.58005,0.0062993,-0.0022063
1.9056e-05,-0.0016509,-2.4651e-05,0.5873,0.0063709,-0.0022139
1.9255e-05,-0.0016698,-2.5499e-05,0.5945,0.0064419,-0.0022209
1.9452e-05,-0.0016886,-2.6363e-05,0.60166,0.0065123,-0.0022271
1.9647e-05,-0.0017072,-2.7244e-05,0.60877,0.0065821,-0.0022327
1.9839e-05,-0.0017257,-2.8141e-05,0.61583,0.0066512,-0.0022377
2.003e-05,-0.0017439,-2.9055e-05,0.62285,0.0067198,-0.002242
2.0218e-05,-0.0017621,-2.9985e-05,0.62982,0.0067877,-0.0022457
2.0405e-05,-0.00178,-3.0932e-05,0.63675,0.006855,-0.0022487
2.0589e-05,-0.0017978,-3.1896e-05,0.64363,0.0069217,-0.0022511
2.0772e-05,-0.0018155,-3.2877e-05,0.65046,0.0069879,-0.0022529
2.0953e-05,-0.001833,-3.3875e-05,0.65725,0.0070534,-0.002254
2.1132e-05,-0.0018503,-3.4889e-05,0.66399,0.0071184,-0.0022546
2.1309e-05,-0.0018675,-3.5921e-05,0.67069,0.0071828,-0.0022545
2.1484e-05,-0.0018845,-3.6969e-05,0.67735,0.0072466,-0.0022539
2.1657e-05,-0.0019014,-3.8034e-05,0.68396,0.0073099,-0.0022526
